Included in rates,Distance from,Number of bathrooms,For your comfort and convenience,Not included in rates,Number of bedrooms,Address,Name,"Entertainment, well-being & sports",Dining,Sustainable development and environmental impact,Resort services and entertainment,Staff,Nearby,Description,Kitchen & Appliances,Max guests,Reservation conditions,Compulsory extra costs,"Equipment, facilities, events",Children,Max price,Outside,Min price
"
- Bed and household linens
- Cot + High Chair
- Electricity, water, gas
- Grocery delivery
- House cleaning upon departure
- Internet WIFI
- Pool towels
- Selection of bath products","
- Airport (80 KM)
- Beach (73 KM)
- Downtown (2.5 KM)
- Supermarket (1.7 KM)",5,"
- Air conditioning
- Dining room
- Fireplace in living room
- Living room
- Reading room
- Terrace","
- Airport transfer
- Cancellation insurance
- Chef / Cook
- Child care, Baby sitting
- Extra house cleaning time
- Massage
- Yoga trainer",5,"Avignon, Provence, France, Europe",Mas Maselian,"
- Cards and board games
- DVD library
- DVD player
- Football field
- Internet access (wifi)
- Music speaker
- Outdoor private swimming pool
- Petanque area
- TV",,,,,,"The perfect mas for an authentic stay with children in Provence. Located between Avignon and Saint Rémy de Provence, 5 bedrooms and 5 bathrooms, beautiful garden, terrace and fenced outdoor pool","
- Blender, mixeur
- Coffee maker
- Cooker hood
- Dish washer
- Freezer
- Fully equipped kitchen
- Induction stove
- Kettle
- Microwave
- Nespresso coffee machine
- Oven
- Refrigerator
- Toaster
- Washing machine",12 (14 max.),,,"
- Smoke detector","
- Baby bathtub
- Baby cot
- Baby listening device
- Board games for kids
- Books for kids
- Child care and baby sitting on request
- Children welcome
- DVD library for younger guests
- Enclosed swimming pool
- Extra bed for child available on request
- Highchair
- Inflatables for pool
- Pool safety system
- Stair guard",881,"
- Garden
- Outdoor dining areas
- Plancha
- Pool lounge chairs",1035
"
- Bed and household linens
- Electricity, water, gas
- Internet WIFI","
- Airport (20 Minutes by car)
- Beach (5 Minutes by car)
- Ibiza (20 Minutes by car)
- San Josep (5 Minutes by car)
- Cala Moli (5 Minutes by car)
- Cala Vadella (5 Minutes by car)
- Supermarket (5 Minutes by car)
- Restaurants / Shops (5 Minutes by car)",6,"
- Air conditioning
- Coffee table
- Covered terrace - Veranda
- Dining room with dining table
- Fireplace in living room
- Living room
- Private parking space
- Sofa(s)
- TV lounge
- Walk-in closet","
- Baby cot : starting from 10.00 EUR Per Day
- Cancellation insurance
- Child care, Baby sitting
- Extra bed : starting from 20.00 EUR Per Day
- High chair : starting from 5.00 EUR Per Day
- Housekeeper
- In-house chef
- Late check-in : starting from 100.00 EUR Per Rental
- Late check-in from 8pm : starting from 100.00 EUR Per Stay
- Laundry service",6,"Ibiza West, Ibiza, Spain, Europe",Villa Cascada,"
- Internet access (wifi)
- Outdoor private swimming pool
- Plasma TV
- Satellite or cable or Internet TV
- Stereo sound system
- TV",,,,,,"Superb traditional family villa located in Cala Moli, with 6 bedrooms and 6 bathrooms, garden, private pool, barbecue and spectacular views of the sea","
- Dish washer
- Dryer
- Fully equipped kitchen
- Nespresso coffee machine
- Refrigerator
- Vitro-ceramic burners",12 (14 max.),,"
- House cleaning upon departure - Mandatory : 300.00 EUR Per Stay","
- Safe deposit box
- Security system","
- Child care and baby sitting on request
- Children welcome
- Extra bed for child available on request",1750,"
- Barbecue
- Lounge area on the terrace
- Outdoor dining areas
- Outdoor dining table
- Outside shower
- Parking
- Pool lounge chairs
- Terrace(s)",1312
"
- Chef/Cook
- Concierge service
- Domestic staff
- Driver (8 hours)
- Electricity, water, gas
- Garden/Pool maintenance
- Housekeeping
- Security service
- Villa Manager",,1,"
- Air conditioning
- Air fan
- Dining room
- Temp. controlled wine storage","
- Baby sitting
- Cancellation insurance
- Extra bed
- Laundry service
- Masseuse
- Personal shopping service",5,"South - Nusa Dua & The Bukit, Bali, Indonesia, Asia",Villa Soham,"
- Gym - Fitness room
- Internet access (wifi)
- Power generator
- Private pool
- TV",,,,,,"Superb and luxurious villa with 5 bedrooms and 5 bathrooms, a beautiful garden, swimming pool, barbecue and a panoramic view of the sea","
- Coffee maker
- Dish washer
- Dryer
- Fully equipped kitchen
- Microwave
- Washing machine",10,,,"
- Car
- Security system
- Smoke detector",,3610,"
- Barbecue
- Natural Gas barbecue
- Parking",1879
"
- Bed and household linens
- Cot + High Chair
- Electricity allowance of
- Electricity, water, gas
- Garden maintenance
- House cleaning upon departure
- Internet WIFI
- Pool maintenance
- Tourism development tax
- Weekly change of linens &amp; towels (2 weeks stay min.)
- Welcome Pack","
- Beach (5 KM)
- Supermarket (10 KM)
- Catania Airport (65 KM)
- Restaurants (10 KM)",4,"
- Air conditioning
- Covered terrace - Veranda
- Dining room
- Living room
- Terrace","
- Breakfast
- Cancellation insurance
- Extra change of bath towels
- Extra change of bed linen
- Extra house cleaning time
- Grocery delivery",4,"North East Sicily, Sicily, Italy, Europe",Villa Calmina,"
- Internet access (wifi)
- Outdoor swimming pool
- Satellite or cable or Internet TV",,,,,,"Beautiful villa perched above Giardini-Naxos, in Taormina, Northeast Sicily, with 4 bedrooms and 4 bathrooms. Garden, terraces, incredible sea views and pool.","
- Blender, mixeur
- Coffee maker
- Dish washer
- Fully equipped kitchen
- Iron
- Ironing board
- Kettle
- Microwave
- Oven
- Toaster
- Washing machine",8,,,"
- Safe deposit box",,885,"
- Barbecue
- Garden
- Outdoor dining areas
- Outside shower
- Parking
- Pool lounge chairs",1071
"
- Access to the residence gym
- Access to the shared swimming pool
- Bed and household linens
- Car park
- Concierge service
- Continental breakfast
- Daily house cleaning
- Electricity, water, gas
- House cleaning upon departure
- Internet WIFI
- Jacuzzi, sauna and Turkish bath
- Spa","
- Lift station (0.15 KM)",3,"
- Central heating
- Dining room
- Fireplace in living room
- Living room
- Outdoor hot tub
- Ski locker","
- Airport transfer both ways
- Beverages
- Cancellation insurance
- Cost of ski equipment hire
- Cost of ski passes
- Grocery delivery
- Pet : starting from 25.00 EUR Per Day
- Transfer",4,"Tignes Les Brevières, Tignes, Northern Alps, France, Europe",Cap Crystal Lodge,"
- Hammam
- Indoor swimming pool
- Internet access (wifi)
- Playroom-Gameroom
- Sauna
- TV","
- This house is self catering",,"
- Fitness centre","
- Fully staffed villa","
- Ski slope at walking distance
- Slopes less than 200 m away","Luxury penthouse lodge up to 9 people (6 adults + 3 children), located in Tignes Les Brevières close to ski lifts. Perfect for a family or company of friends, two terraces, private spa and outdoor jacuzzi and beautiful interiors","
- Cooking utensils
- Fully equipped kitchen",9,,,"
- Security system
- Wine cellar",,1860,"
- Outdoor dining areas
- Terrace(s)",1740
"
- Bed and household linens
- Change of linen every 3 days
- Change of towels twice weekly
- Concierge service
- Daily housekeeping (except Sundays and holidays)
- Electricity, water, gas
- Internet WIFI
- Welcome Pack","
- Airport (55 KM)
- Beach (1 KM)
- Downtown (2 KM)
- Supermarket (0.5 KM)
- Heraklion (182 KM / 2.5 Hours by car)",1,"
- Air conditioning
- Coffee table
- Dining room with dining table
- Laundry room
- Living room
- Sofa(s)
- Terraces","
- Airport transfer
- Cancellation insurance",1,"Chania, Crete, Greece, Europe",Villa Abyss,"
- DVD player
- Flatscreen TV
- Internet access (wifi)
- Outdoor private swimming pool
- Satellite or cable or Internet TV",,,,,"
- Beach in ten","Superb villa with 1 bedroom and a bathroom, garden, swimming pool, barbecue and 1km from the beach in Kissamos, 20 minutes from Chania","
- Fully equipped kitchen",3,,"
- Tourism development tax : 0.50 EUR Per Guest/day","
- Security system",,534,"
- Barbecue
- Garden
- Lounge area on the terrace
- Lounge chairs on the terrace
- Outdoor dining areas
- Outdoor dining table
- Parking
- Pool lounge chairs
- Terrace(s)",295
"
- Bed and household linens
- Electricity, water, gas
- Garden maintenance
- Internet WIFI
- Pool and/or beach towels
- Selection of bath products","
- Airport (80 KM)
- Beach (0.2 KM)
- Downtown (1 KM)
- Supermarket (1 KM)
- Restaurants / Shops (1 KM)",5,"
- Air conditioning
- Dining room
- Fireplace in living room
- Hair dryers
- Hammocks
- Living room
- Private parking space","
- Cancellation insurance
- House cleaning upon departure - Mandatory : starting from 200.00 EUR Per Stay",5,"Cadaques, Costa Brava, Spain, Europe",Villa Serenitat,"
- Books
- DVD library
- DVD player
- Internet access (wifi)
- iPod dock
- Library
- Music speaker
- Outdoor private swimming pool
- Satellite or cable or Internet TV
- TV",,,,,,"Nice 5 bedroom villa located in Cadaqués, on the Costa Brava. Only 200 meters from the beach, garden, terrace and outdoor pool.","
- Blender, mixeur
- Coffee maker
- Cooker hood
- Dish washer
- Dryer
- Eat-in kitchen
- Freezer
- Fully equipped kitchen
- Grill
- Ice maker
- Indoor Plancha
- Juice extractor
- Kettle
- Microwave
- Nespresso coffee machine
- Oven
- Refrigerator
- Toaster
- Washing machine",10 (12 max.),,,"
- Mooring for yachts
- Motorboat
- Security system
- Underfloor heating","
- Child care and baby sitting on request
- Children welcome
- DVD library for younger guests
- Extra bed for child available on request",892,"
- Barbecue
- Garden
- Lounge area on the terrace
- Lounge chairs on the terrace
- Outdoor dining areas
- Outside shower
- Pool lounge chairs
- Summer kitchen
- Terrace(s)
- Wheelchair friendly villa",1071
"
- Bed and household linens
- Change linen and towels (minimum stay of 2 weeks.)
- Housecleaning upon departure
- Intermediate cleaning in the middle of the stay
- Pool and/or beach towels
- Pool heating
- Toiletries","
- Beach (250 M)
- Figari airport (66 KM)
- Port (20 Minutes by car)
- Bonifacio (74 KM)
- Ajaccio (48 KM)
- Porto Vecchio (84 KM)
- Bastia (183 KM)",5,"
- Air conditioning
- Central heating
- Dining &amp; living room is the same area
- Hair dryers
- Parking on street","
- Bread, pastries and newspaper delivery service
- Chef / Cook
- Concierge service
- Daily house cleaning
- Grocery shopping and delivery service
- In-house massage service
- Personal trainer for 2 people
- Yoga trainer",5,"Propriano, Corsica, France, Europe",Villa Oléine,"
- Books
- Heated outdoor swimming pool
- Internet access (wifi)
- Sound system
- TV",,,,,,"Beautiful contemporary and ecological house with 5 bedrooms, located by the sea, in Olmeto. Beautiful sea view, close to the beaches, terrace and heated infinity pool.","
- Coffee maker
- Dish washer
- Dryer
- Freezer
- Fully equipped kitchen
- Iron
- Kettle
- Oven
- Refrigerator
- Toaster
- Washing machine",10 (12 max.),,"
- Tourism development tax : 2.20 EUR Per Adult/day","
- Smoke detector","
- Board games for kids
- Books for kids
- Children welcome
- Pool safety system",821,"
- Barbecue
- Lounge chairs on the terrace
- Outdoor dining areas
- Outside shower
- Summer kitchen
- Terrace(s)",1021
"
- Bed and household linens
- Electricity, water, gas
- House cleaning upon departure
- Internet WIFI","
- Downtown (10 Minutes by car)
- Barcelona airport (30 Minutes by car)",9,"
- Air conditioning
- Dining room
- Fireplace in living room
- Fireplace on the terrace
- Hair dryers
- Living room
- Outdoor hot tub","
- Baby cot : starting from 35.00 EUR Per Stay
- Cancellation insurance
- Extra bed : starting from 70.00 EUR Per Guest/night
- Heating of hammam and spa : starting from 300.00 EUR Per Stay",9,"Sitges, Costa Daurada, Spain, Europe",Villa Masianova,"
- Internet access (wifi)
- Petanque area (game of boules)
- Satellite or cable or Internet TV
- Sauna
- Swimming pool with salt water
- TV",,,,,,"Beautiful villa located on the Costa Dorada close to Sitges, with 9 bedrooms. Nice views, gardens, terraces, balconies, salt-water jacuzzi outdoor, salt-water pool, pool house, sauna and Turkish bath.","
- Coffee maker
- Dish washer
- Dryer
- Freezer
- Fully equipped kitchen
- Grill
- Iron
- Ironing board
- Microwave
- Nespresso coffee machine
- Oven
- Refrigerator
- Washing machine",20 (24 max.),,"
- Tourism development tax : 1.00 EUR Per Guest/night","
- Underfloor heating",,3028,"
- Balcony
- Barbecue
- Garden
- Lounge area on the terrace
- Outdoor dining areas
- Parking
- Pool house
- Pool lounge chairs
- Summer kitchen
- Terrace(s)",
"
- Chef/Cook
- Concierge service
- Domestic staff
- Electricity, water, gas
- Garden/Pool maintenance
- Housekeeping
- Villa Manager",,1,"
- Air conditioning
- Air fan
- First Aid Kit
- Temp. controlled wine storage","
- Cancellation insurance",3,"Natai Beach, Phuket, Thailand, Asia",Veyla - Sea Villa 3,"
- Infinity pool
- Internet access (wifi)
- Printer","
- Bed &amp; Breakfast
- Chef service upon request (advance notice required)",,,"
- Fully staffed property",,Elegant 3-bedroom villa located in the Veyla residence in Phuket. With a beautiful terrace and private swimming pool.,"
- Dish washer
- Freezer
- Microwave
- Oven
- Refrigerator",6,,,"
- Car
- Extinguisher","
- Children welcome",3039,"
- Parking",
"
- Bathrobe
- Bed and household linens
- Electricity, water, gas
- Slippers
- Toiletries
- Tourism development tax","
- Beach (0.6 KM)
- Downtown (8 KM)
- Supermarket (0.6 KM)
- Split (15 KM)
- Restaurants (2 KM)",4,"
- Air conditioning
- Hair dryer
- Outdoor hot tub
- Private parking space","
- Cancellation insurance
- Daily house cleaning
- House cleaning - Mandatory : starting from 450.00 EUR Per Stay",4,"Krilo Jenesice, Dalmatia, Croatia, Europe",Villa Glamy,"
- BOSE sound system
- Internet access (wifi)
- Outdoor private swimming pool
- Satellite or cable or Internet TV
- Sauna
- TV",,,,,,"Magnificent villa located only 15 km from Split, 4 bedrooms with bathrooms, private heated pool, sauna, jacuzzi, amazing ocean views, only 200 meters from the sea","
- Coffee maker
- Dish washer
- Dryer
- Fully equipped kitchen
- Ice maker
- Iron
- Ironing board
- Microwave
- Oven
- Refrigerator
- Washing machine",8,,,"
- Safe deposit boxes","
- Baby cot
- Children welcome
- Highchair",800,"
- Balcony
- Barbecue
- Garden
- Lounge area on the terrace
- Outdoor dining table
- Outside shower
- Pool lounge chairs
- Summer kitchen
- Terrace(s)",800
"
- Bed and household linens
- Electricity, water, gas","
- Airport (21 KM)
- Beach (0.5 KM)
- Bastia (37 KM)
- Restaurants (1.3 KM)",3,,"
- Cancellation insurance",3,"East coast of Corsica, Corsica, France, Europe",Villa Meela,"
- Flatscreen TV
- Outdoor private swimming pool",,,,,,"Charming villa located 500 meters from Taglio-Isolaccio beach, 3 bedrooms, outdoor swimming pool, sea view, garden.","
- Fully equipped kitchen
- Microwave
- Oven
- Refrigerator
- Washing machine",6,,"
- Housecleaning upon departure : 550.00 EUR Per Stay",,,830,"
- Terrace(s)",1071
"
- Airport transfer
- Bed and household linens
- Butler
- Chef / Cook
- Concierge service
- Cot + High Chair
- Daily house cleaning
- Full board
- Guardian
- Internet WIFI
- Pool and/or beach towels
- Pool heating
- Selection of bath products","
- Airport (12 KM)
- Downtown (25 KM)
- Supermarket (25 KM)",3,"
- Dining room with dining table
- Living room
- TV lounge","
- Baby sitting
- Car with driver
- Extra bed
- Extra hours of housekeeping
- Grocery delivery
- Tips for the staff",3,"Zimbali Coastal Resort, KwaZulu-Natal, South Africa, Africa",Villa Zindoga,"
- Cards and board games
- DVD library
- DVD player
- Flatscreen TV
- Gym - Fitness room
- Internet access (wifi)
- Massage room
- Outdoor private swimming pool
- Satellite or cable or Internet TV",,,,,,"Authentic lodge, in the heart of Hoedspruit, in the wild countryside, 3 bedrooms, large private garden, swimming pool, outdoor lounge area, relaxation area","
- Fully equipped kitchen",4 (6 max.),,,"
- Helipad
- Pizza oven
- Safe deposit box
- Smoke detector","
- Baby cot
- Board games for kids
- Books for kids
- Child care and baby sitting on request
- Children meal to order
- Children welcome
- DVD library for younger guests
- Extra bed for child available on request
- Mini Club for children",6134,"
- Barbecue
- Garden
- Great private park and garden
- Lounge area on the terrace
- Outdoor dining areas
- Outdoor dining table
- Outside shower
- Pool lounge chairs
- Terrace(s)
- Wheelchair friendly villa",6134
