Properties,Terms and conditions,Max Guests,Facilities,Entertainment,Distances To,Location Description,Kids,Price per night,More information,Address,Name,Services,Sport,Number of Bedrooms,Meals,Transport
"
- Easy access to the ocean so you can go for a swim whenever the mood strikes
- Stretches across 375 sq. metres
- Beach kiosk right by the ocean
- Private sunbeds overlooking the beach
- Temperature-controlled swimming pool
- Nestled right on the beach
- Ample room for families","
- Check-in: after 03:00 pm
- Check-out: until 12:00 pm",2,"
- Additional guest (extra cost)(contact us)
- Back-up generator
- Bathrobe
- CCTV security
- Electricityincluded
- Fire extinguisher
- Gazebo
- Hairdryer
- Iron and ironing board (extra cost)
- Jacuzzi
- Mosquito nets (extra cost)
- Outdoor bar (extra cost)
- Pool towels
- Pool umbrella
- Printer (extra cost)
- Safety box
- Sauna
- Spa room
- Swimming pool
- Terrace
- Toiletries
- Wardrobe space
- Wi-Fi Internet","
- Billiard table
- International channels
- Stereo
- Streaming service
- Table tennis table
- TV","
- Sir Seewoosagur Ramgoolam International Airport: 30km","Located near one of the best shorelines in Mauritius, Shanti Maurice Beachfront Villa offers an idyllic setting for honeymoons or romantic getaways with your partner. Because it has ample room to spare, it can also very comfortably accommodate up to two children at an additional cost. This villa is found in the complex of the popular Shanti Resort, enabling you to access a wide variety of activities and entertainment options. Because of its proximity to some of the main attractions on the island, Shanti Maurice Beachfront Villa is the ideal home base for anyone who wants to explore Mauritius. This villa offers around 375 m² for you to explore.","
- Baby cot
- Baby high chair
- Baby monitor (extra cost)
- Babysitter (extra cost)
- Pool fence (extra cost)
- Pool toys",925,"
- Pers. max.: 2
- Staff:
- Villa size: 54 m²
- Garden: 321 m²","Saint Felix, South Mauritius, Mauritius",Shanti Maurice Beachfront Villa,"
- Gardener
- Housekeepingservice
- Laundry (extra cost)
- Massage (extra cost)
- Pool maintenance
- Welcome drinks","
- Gym equipmentAt the villa
- Kayak available
- Tennis court",1,"
- Coffee maker
- Daily breakfastincluded
- Dinner (extra cost)(based on menu)
- Floating breakfast (extra cost)(contact us)
- Lunch (extra cost)(based on menu)
- Restaurant (extra cost)
- Room service (extra cost)","
- Airport transfer (extra cost)(contact us)
- Bicycles available (extra cost)
- Boat rental (extra cost)
- Car available (extra cost)
- Driver (extra cost)"
"
- Quiet and secure area in a holiday complex
- 5 minutes to Grand Bay Centre
- Private garden with swimming pool
- Maid and continental breakfast services
- Fully-equipped self-catering kitchen
- Barbecue equipment","
- Check-in: after 02:00 pm
- Check-out: until 11:00 am
- Security deposit: credit card authorization EUR",2,"
- Additional guest (extra cost)(20 EUR/night, 1 pers. max.)
- Air conditioningincluded
- Back-up generator
- BBQ equipment
- Enclosed living room
- Fire extinguisher
- Hairdryer
- Household supplies
- Iron and ironing board
- ParkingFree parking on premise
- Pool towels(contact us)
- Safety box
- Swimming pool
- Terrace
- Toiletries
- Wardrobe space
- Wi-Fi Internet","
- International channels
- TV","
- Sir Seewoosagur Ramgoolam International Airport: 58km
- Beach: 2.5km","Featuring a harmonious blend of an azure sky and deep emerald foliage, Athena Villa 1 offers the ideal luxury setting for couples or honeymooners who want to enjoy an intimate vacation. With wonderfully appointed living spaces and an idyllic private garden that looks straight out of a fairytale, Athena Villa 1 is a one-bedroom villa located on a massive land area of 238 square metres. This villa seamlessly blends nature and contemporary amenities to offer you one of the most relaxing and romantic experiences of your life.","
- Baby cot
- Baby high chair
- Babysitter (extra cost)",204,"
- Pers. max.: 2
- Staff: 2
- Villa size: 110 m²
- Garden: 128 m²","Grand Baie, Grand Baie & North Mauritius, Mauritius",Athena Villa 1,"
- 24H Security
- Gardener
- Housekeepingon week days
- Massage (extra cost)
- Personal guest assistant
- Pool maintenance
- Security service
- Welcome drinks",,1,"
- Coffee maker
- Daily breakfast (extra cost)(12 EUR/person)
- Dinner (extra cost)(contact us)
- Fully equipped kitchen
- Lunch (extra cost)(contact us)","
- Airport transfer (extra cost)(contact us)
- Bicycles available (extra cost)
- Boat rental (extra cost)
- Car available (extra cost)
- Driver (extra cost)
- Scooter available (extra cost)"
"
- WiFi
- Parking
- Private Pool
- Tropical Garden Gazebo
- Sun Loungers
- Air Conditioned Bedrooms
- En-Suite Bathrooms","
- Check-in: after 02:00 pm
- Check-out: until 11:00 am
- Security deposit: credit card authorization EUR",6,"
- Additional guest (extra cost)(20 EUR/night, 1 pers. max.)
- Air conditioning(contact us)
- BBQ equipment (extra cost)
- Enclosed living room
- Gazebo
- ParkingFree parking on premise
- Pool towels(contact us)
- Pool umbrella
- Reclining chairs
- Safety box
- Swimming pool
- Wardrobe space
- Wi-Fi Internet","
- International channels
- Satellite television
- TV","
- Sir Seewoosagur Ramgoolam International Airport: 56km
- Beach: 1000m","A unique 3-bedroom villa located on 300m2 of enclosed grounds dotted with lush foliage, Villa Clos du Littoral Three offers charming accommodation and glorious luxury that will add a special touch to your holiday. Ideal for couples and families alike, this villa is found in the prestigious five-star Clos du Littoral complex. Extremely comfortable with a wide range of included amenities and services, this villa has entirely been equipped to help you make the most out of your holidays under the tropical sun.","
- Baby cot
- Baby high chair
- Babysitter (extra cost)",392,"
- Pers. max.: 6
- Staff:
- Villa size: 137 m²
- Garden: 163 m²","Grand Baie, Grand Baie & North Mauritius, Mauritius",Villa Clos du Littoral Three,"
- 24H Security
- Housekeepingon week days
- Security service",,3,"
- Daily breakfast (extra cost)(12 EUR/person)
- Dinner (extra cost)(contact us)
- Fully equipped kitchen
- Lunch (extra cost)(contact us)","
- Airport transfer (extra cost)(contact us)
- Car available (extra cost)"
"
- Premium apartment with 3 bedrooms each with their own en-suite bathroom
- Open plan living area with fully equipped kitchen
- Outstanding sea view from the private balcony
- Shared swimming pool overlooking the beach","
- Check-in: after 02:00 pm
- Check-out: until 11:00 am
- Security deposit: credit card authorization EUR",6,"
- Air conditioning(contact us)
- BBQ equipment
- Enclosed living room
- Hairdryer
- Iron and ironing board
- ParkingFree parking on premise
- Safety box
- Shared swimming pool
- Terrace
- Toiletries
- Washing machine
- Wi-Fi Internet","
- International channels
- Satellite television
- TV","
- Sir Seewoosagur Ramgoolam International Airport: 46km
- Beach: 50m","Flic en Flac is a popular tourist destination in the West of Mauritius for its stunning white sand beach and turquoise blue waters. For both travellers and the locals, gathering on the beach over the weekend is a favourite past time. Cap Ouest Premium Apartments overlooks Flic en Flac beach, providing the apartments gorgeous sea views. The 3 bedroom premium apartment accommodates the first floor where a private balcony enjoys the endless horizon.","
- Baby cot
- Baby high chair",443,"
- Pers. max.: 6
- Staff:
- Villa size: 143 m²","Flic-en-Flac, Black River, West Mauritius, Mauritius",Cap Ouest Premium Apartment,"
- 24H Security
- Housekeepingonce every 3 days
- Massage (extra cost)
- Security service
- Welcome drinks",,3,"
- Coffee maker
- Daily breakfast (extra cost)(contact us)
- Dinner (extra cost)(contact us)
- Fully equipped kitchen
- Lunch (extra cost)(contact us)
- Microwave
- Oven
- Toaster","
- Airport transfer (extra cost)(contact us)
- Car available (extra cost)
- Driver (extra cost)"
"
- 18 m² swimming pool to provide a refreshing respite from the island heat
- Covered veranda where you can sit back and relax at night
- Villa comfortably sleeps up to six people
- Close to several of the best nightclubs and restaurants in the district of Black River
- Spacious and airy rooms that will enhance a sense of relaxation
- Air-conditioned bedrooms to guarantee your comfort
- Exclusive access to The Club House where you can enjoy several activities","
- Check-in: after 02:00 pm
- Check-out: until 11:00 am
- Security deposit: 500 EUR",6,"
- Additional guest (extra cost)(25 EUR/night, 2 pers. max.)
- Back-up generator
- BBQ equipment (extra cost)
- CCTV security
- Electricityincluded
- Fire extinguisher
- Gazebo
- Hairdryer
- Household supplies
- Iron and ironing board
- Pool towels(contact us)
- Printer (extra cost)
- Safety box
- Swimming pool
- Terrace
- Toiletries
- Wardrobe space
- Wi-Fi Internet","
- International channels
- Satellite television
- Table tennis table
- TV
- Video games","
- Sir Seewoosagur Ramgoolam International Airport: 43km
- Beach: 900m","Located in the sunny district of Black River, Marguery Villa Superior offers the perfect haven of peace and tranquility where you can enjoy a refreshing holiday in Mauritius. With different types of features and amenities to render your stay in Paradise Island even more relaxing, this villa can very comfortably sleep up to six guests.","
- Baby cot
- Baby high chair
- Babysitter (extra cost)",345,"
- Pers. max.: 6
- Staff: 1
- Villa size: 160 m²
- Garden: 91 m²","Black River, West Mauritius, Mauritius",Marguery Villa Superior,"
- 24H Security
- Gardener
- Housekeepingservice
- Laundry
- Massage (extra cost)
- Personal guest assistant
- Pool maintenance
- Security service
- Welcome drinks","
- Gym equipmentAt the villa",3,"
- Coffee maker
- Daily breakfast (extra cost)(16 EUR/person)
- Dinner (extra cost)(based on menu)
- Fully equipped kitchen
- Lunch (extra cost)(based on menu)
- Restaurant (extra cost)","
- Airport transfer (extra cost)(contact us)
- Bicycles available
- Car available (extra cost)
- Driver (extra cost)
- Scooter available (extra cost)"
"
- Proximity to one of the most scenic beaches in Mauritius
- Plenty of room for traveling as a group with your friends and families
- Close to the tourist hub of Grand Baie, which is known for its clusters of nightclubs and restaurants
- Air conditioning in all the bedrooms to shelter you from the island heat
- Large swimming pool for a dip anytime you want","
- Check-in: after 02:00 pm
- Check-out: until 10:30 am
- Security deposit: 1 night(s)",8,"
- Back-up generator
- BBQ equipment
- Electricityincluded
- Fire extinguisher
- Hairdryer
- Household supplies
- Iron and ironing board
- ParkingFree parking on premise
- Pool towels(contact us)
- Pool umbrella
- Reclining chairs
- Safety box
- Toiletries
- Wardrobe space
- Wi-Fi Internet","
- International channels
- Satellite television
- Stereo
- TV","
- Sir Seewoosagur Ramgoolam International Airport: 57km
- Beach: 15m","Offering plenty of space to families and larger groups who want to enjoy a relaxing holiday in Mauritius by the beach, this villa places you right on one of the most picturesque beaches on the island. With panoramic views of the sparkling ocean, the villa is found in the fisherman village of Trou d’Eau Douce, which provides the ideal setting for a nice stroll while inhaling the salty sea air. More importantly, Villa Belle Vue 3 does boasts ample room to very comfortably accommodate your friends and families. As a guest of the villa, you can also enjoy plenty of services and amenities designed to render your stay even more comfortable.","
- Baby cot (extra cost)
- Baby high chair (extra cost)",596,"
- Pers. max.: 8
- Staff: 2
- Villa size: 350 m²","Trou aux Biches, Grand Baie & North Mauritius, Mauritius",Villa Belle Vue 3,"
- Gardener
- HousekeepingMonday-Saturday, except public holidays
- Pool maintenance",,3,"
- Chef (extra cost)
- Coffee maker
- Dinner (extra cost)(contact us)
- Fully equipped kitchen
- Lunch (extra cost)(contact us)","
- Airport transfer (extra cost)(contact us)"
"
- Ocean front holiday home
- Sunny outdoor deck with a swimming pool
- Three air-conditioned bedrooms with ocean view
- TV room","
- Check-in: after 03:00 pm
- Check-out: until 11:00 am
- Security deposit: 150 EUR",6,"
- Additional guest(contact us)
- Back-up generator
- BBQ equipment
- Electricityincluded
- Fire extinguisher
- Hairdryer
- Household supplies
- Iron and ironing board
- ParkingFree parking on premise
- Pool towels(contact us)
- Pool umbrella
- Reclining chairs
- Swimming pool
- Terrace
- Wardrobe space
- Wi-Fi Internet","
- TV","
- Sir Seewoosagur Ramgoolam International Airport: 42km
- Beach: 30m",Villa Dunes 1 is a found on the east side of the island Mauritius. A peaceful area where you will feel enchanted by the azure blue ocean and the beautiful nature all around you. The capital city Port Louis is a 40 minute drive away and the beach resort town of Grand Baie 35 minutes.,"
- Baby cot
- Baby high chair
- Babysitter (extra cost)
- Pool fence",258,"
- Pers. max.: 6
- Staff: 1
- Villa size: 3500 m²","Poste Lafayette, East Mauritius, Mauritius",Villa Dunes 1,"
- Gardener
- Housekeepingservice
- Massage (extra cost)
- Personal guest assistant (extra cost)
- Pool maintenance
- Welcome drinks",,3,"
- Daily breakfast (extra cost)(contact us)
- Dinner (extra cost)(contact us)
- Fully equipped kitchen
- Lunch (extra cost)(contact us)","
- Airport transfer (extra cost)(contact us)"
"
- Absolute ocean front villa
- Expansive garden with a private swimming pool
- TV room
- Deluxe master suite with a private balcony facing the ocean","
- Check-in: after 02:00 pm
- Check-out: until 11:00 am
- Late check-out: until 06:00 pm charged 50% of the daily rate (subject to availability)",8,"
- 3G modem
- Back-up generator
- Pool towels(contact us)
- Safety box
- Swimming pool
- Wi-Fi Internet","
- Satellite television
- TV","
- Sir Seewoosagur Ramgoolam International Airport: 40km
- Beach: 10m","Villa Fayette sur Mer will steal the hearts of those who love culture and nature. This charming traditional villa is found in the village of Poste Lafayette on the east side of the island. This peaceful area will enchant you with its stunning untouched nature and azure blue ocean. It will make a great day-trip to visit the islands capital, Port Louis, where you can stroll along the traditional market and see the colonial heritage. You can also visit the islands most popular beach resort destination, Grand Baie, just a 35 minute drive from your home away from home.",,395,"
- Pers. max.: 8
- Staff: 3","Poste Lafayette, East Mauritius, Mauritius",Villa Fayette sur Mer,"
- Gardener
- Housekeepingservice
- Welcome drinks",,4,"
- Daily breakfast (extra cost)(contact us)
- Dinner (extra cost)(contact us)
- Fully equipped kitchen
- Lunch (extra cost)(contact us)","
- Airport transfer (extra cost)(contact us)
- Car available (extra cost)
- Driver (extra cost)"
"
- Unblemished ocean vistas
- Excellent location on the Southeastern coast
- High-quality services
- Dedicated Villa Host
- Access to two swimming pools
- Cozy home comforts
- Ample space for larger groups","
- Check-in: after 02:00 pm
- Check-out: until 11:00 am
- Security deposit: 2000 EUR",8,"
- Air conditioningincluded
- BBQ equipment
- Enclosed living room
- ParkingFree parking on premise
- Pool towels(contact us)
- Swimming pool
- Terrace
- Toiletries
- Wardrobe space
- Washing machine
- Wi-Fi Internet","
- Satellite television
- TV","
- Sir Seewoosagur Ramgoolam International Airport: 42km
- Beach: 10m","A lush retreat nestled on the stunning southeastern coast of Mauritius, Villa Arty comes with just about everything you need for a stress-free stay. With classic home comforts and ample space to accommodate larger groups of up to eight guests, this property boasts an excellent location away from the hustle and bustle of the town center. Despite the tranquil location, you’ll still be within driving distance to plenty of retail, entertainment, and dining opportunities.","
- Babysitter (extra cost)",1303,"
- Pers. max.: 8
- Staff:
- Villa size: 600 m²","Poste Lafayette, East Mauritius, Mauritius",Villa Arty,"
- Housekeepingdaily
- Laundry
- Massage",,4,"
- Coffee maker
- Daily breakfast (extra cost)(25 EUR/person)
- Dinner (extra cost)(contact us)
- Fully equipped kitchen
- Lunch (extra cost)(contact us)
- Microwave
- Oven
- Toaster","
- Airport transfer (extra cost)(contact us)"
"
- WiFi is free of charge
- Air conditioning to provide  much-needed respite from the island heat
- Water features such as fountains and infinity pools which creates a soothing atmosphere
- Four sprawling suites with en-suite bathroom
- Generous garden with tropical plants","
- Check-in: after 02:00 pm
- Check-out: until 11:00 am
- Security deposit: 2 night(s)",8,"
- BBQ equipment
- Iron and ironing board
- Swimming pool
- Wi-Fi Internet","
- Table tennis table
- TV","
- Sir Seewoosagur Ramgoolam International Airport: 37km
- Beach: 200m","Effortlessly blending luxury with relaxation, Villa Elora spreads is impressive 434m2 of living area between a reflective pool, sauna, infinity pool, fountains and even a scenic wooden bridge. There’s no denying that the abundant greenery combines beautifully with the generous living quarters to create an absolute oasis of peace and tranquility. Brimming with luxury, Villa Elora also has plenty to offer in terms of activities since it’s so close to some of the major attractions in Mauritius. 
Villa Elora can comfortably house 14 people and boasts a guest cottage in the garden.","
- Baby cot
- Baby high chair",805,"
- Pers. max.: 8
- Staff: 2
- Villa size: 420 m²","Bel Ombre, South Mauritius, Mauritius",Villa Elora,"
- 24H Security
- Housekeepingservice",,7,"
- Chef (extra cost)
- Coffee maker
- Daily breakfast (extra cost)(contact us)
- Dinner (extra cost)(contact us)
- Fully equipped kitchen
- Lunch (extra cost)(contact us)","
- Airport transfer (extra cost)(contact us)"
"
- Private pool
- Private parking
- Barbeque Facilities
- 24/7 Concierge
- Private tropical garden
- Veranda","
- Check-in: after 02:00 pm
- Check-out: until 11:00 am
- Security deposit: credit card authorization EUR 500",6,"
- Additional guest (extra cost)(20 EUR/night, 1 pers. max.)
- Air conditioningincluded
- Back-up generator
- BBQ equipment
- Enclosed living room
- Fire extinguisher
- Hairdryer
- Household supplies
- Iron and ironing board
- ParkingFree parking on premise
- Pool towels(contact us)
- Safety box
- Swimming pool
- Terrace
- Toiletries
- Wardrobe space
- Wi-Fi Internet","
- International channels
- TV","
- Sir Seewoosagur Ramgoolam International Airport: 58km
- Beach: 2.5km","With a plethora of services designed to render your stay as enjoyable as possible, Athena Villa 3 offers an absolute haven of peace and serenity to help you recharge your batteries as you relax in utter bliss. Boasting a high level of intimacy and privacy, Athena Villa 3 has been completely set up to help guests forget the hustle and bustle of their everyday lives. Featuring the perfect setting for some much-needed escapism, this villa is additionally known for its vibrant greenery and lush flowery garden.","
- Baby cot
- Baby high chair
- Babysitter (extra cost)",345,"
- Pers. max.: 6
- Staff: 2
- Villa size: 130 m²
- Garden: 108 m²","Grand Baie, Grand Baie & North Mauritius, Mauritius",Athena Villa 3,"
- 24H Security
- Gardener
- Housekeepingon week days
- Massage (extra cost)
- Personal guest assistant
- Pool maintenance
- Security service
- Welcome drinks",,3,"
- Coffee maker
- Daily breakfast (extra cost)(12 EUR/person)
- Dinner (extra cost)(contact us)
- Fully equipped kitchen
- Lunch (extra cost)(contact us)","
- Airport transfer (extra cost)(contact us)
- Bicycles available (extra cost)
- Boat rental (extra cost)
- Car available (extra cost)
- Driver (extra cost)
- Scooter available (extra cost)"
"
- A short minute’s walk from the scenic beach
- Sweeping views of the ocean from the comfort of your penthouse
- Barbecue facilities for fun Al Fresco nights with your friends and families
- Air conditioning throughout the villa to shelter you from the island heat
- Proximity to the iconic Le Morne mountain
- Plenty of sun-loungers so you can soak in plenty of that warm island sun","
- Check-in: after 02:00 pm
- Check-out: until 11:00 am
- Security deposit: 500 EUR",6,"
- Air conditioningincluded
- BBQ equipment
- Bed linenschange every 3 days
- Hairdryer
- Household supplies
- Off-street parking
- Pool umbrella
- Safety box
- Shared swimming pool
- Swimming pool
- Terrace
- Toiletries
- Towelschange every 3 days
- Wi-Fi Internet","
- Satellite television
- TV","
- Sir Seewoosagur Ramgoolam International Airport: 43km
- Beach: 60m","Located in Black River, one of the most elegant districts of the island, Latitude Penthouse is perfect for families and groups who wish to book a luxury villa in Mauritius. Boasting spectacular views of the glistening azure ocean, this villa offers plenty of perks and amenities to enhance your stay in Paradise Island. Located on the sunny South-Western coast of Mauritius, the villa is beautifully-furnished to feel just like home.","
- Baby cot
- Baby high chair",364,"
- Pers. max.: 6
- Staff:
- Villa size: 165 m²","Black River, West Mauritius, Mauritius",Latitude Penthouse,"
- 24H Security
- Housekeepingonce every 3 days
- Massage (extra cost)
- Security service",,3,"
- Chef (extra cost)
- Daily breakfast (extra cost)(contact us)
- Dinner (extra cost)(contact us)
- Lunch (extra cost)(contact us)
- Oven","
- Airport transfer (extra cost)(contact us)"
"
- Private swimming pool for endless hours of fun
- Indoor-outdoor living concept
- Distinctively tropical décor with thatched roof
- Spacious and airy living quarters with plenty of room to spread out
- Gloriously comfortable bedding with high-quality linens
- Classic home comforts including a kitchen
- Wide array of services and facilities","
- Check-in: after 02:00 pm
- Check-out: until 11:00 am
- Security deposit: 300 EUR",6,"
- Air conditioning(contact us)
- BBQ equipment
- CCTV security
- Enclosed living room
- Fire extinguisher
- Hairdryer
- Iron and ironing board
- ParkingFree parking on premise
- Pool towels(contact us)
- Swimming pool
- Terrace
- Wardrobe space
- Washing machine
- Wi-Fi Internet","
- Board games
- TV","
- Sir Seewoosagur Ramgoolam International Airport: 56km
- Beach: 1.6km","Nestled in a tranquil area of Grand Baie, the tourist hub of Mauritius, Villa Mahe not only offers proximity to the public beach, but also to some of the island’s best retail and entertainment options. Boasting ample space for up to six guests, this villa boasts all the comforts of home to ensure that you enjoy a stress-free stay. While it features plenty of luxurious touches, rest assured that you’ll still be able to relax in the lap of pure coziness during your stay at Villa Mahe.","
- Baby cot (extra cost)
- Babysitter (extra cost)",405,"
- Pers. max.: 6
- Staff:
- Villa size: 130 m²","Grand Baie, Grand Baie & North Mauritius, Mauritius",Villa Mahe,"
- 24H Security
- Housekeepingdaily",,3,"
- Fully equipped kitchen
- Microwave
- Oven","
- Airport transfer (extra cost)(contact us)"
"
- Beachfront deluxe apartment
- Shared pool with sunbeds and umbrellas
- Fully equipped kitchen and large living area
- 2 double bedrooms with en-suite bathrooms","
- Check-in: after 02:00 pm
- Check-out: until 11:00 am
- Security deposit: 500 EUR",4,"
- Air conditioning(contact us)
- BBQ equipment
- Enclosed living room
- Hairdryer
- Iron and ironing board
- ParkingFree parking on premise
- Safety box
- Shared swimming pool
- Terrace
- Toiletries
- Washing machine
- Wi-Fi Internet","
- International channels
- Satellite television
- TV","
- Sir Seewoosagur Ramgoolam International Airport: 46km
- Beach: 50m","Cap Ouest Apartments is a beachside resort offering luxurious apartments in the Flic en Flac region of West Mauritius. Stunning blue waters and white sands await at Flic en Flac beach, the longest stretch of beach on the island just meters from the complex. Providing contemporary modern living in a tropical setting, Cap Ouest Apartments is an ideal location to spend a family holiday. The 2 bedroom apartments are spacious and clean, with beautiful sea views from the terrace and balcony. Spend the holiday of a lifetime in total comfort and ease.","
- Baby cot
- Baby high chair",407,"
- Pers. max.: 4
- Staff:
- Villa size: 95 m²","Flic-en-Flac, Black River, West Mauritius, Mauritius",Cap Ouest Deluxe Apartment,"
- 24H Security
- Housekeepingonce every 3 days
- Massage (extra cost)
- Security service
- Welcome drinks",,2,"
- Coffee maker
- Daily breakfast (extra cost)(contact us)
- Dinner (extra cost)(contact us)
- Fully equipped kitchen
- Lunch (extra cost)(contact us)
- Microwave
- Oven
- Toaster","
- Airport transfer (extra cost)(contact us)
- Car available (extra cost)
- Driver (extra cost)"
"
- Located near one of the sunniest villages in Mauritius, placing you in proximity to the shopping capital of Port Louis
- Guests can enjoy a refreshing dip in a private swimming pool or in the shared pool
- The residence is found right on the beach, providing you with easy access to the ocean
- Free private parking on the fully-secured residence","
- Check-in: after 02:00 pm
- Check-out: until 10:00 am",6,"
- Back-up generator
- CCTV security
- ParkingFree parking on premise
- Pool umbrella
- Shared swimming pool
- Swimming pool
- Terrace
- Toiletries","
- Satellite television
- TV","
- Sir Seewoosagur Ramgoolam International Airport: 55km
- Beach: 250m","Found in the sunny fisherman’s village of Trou-aux-Biches, villa Bel Azur is beautifully conceived in such a way so as to enhance your holiday in the sun. This residence comprises two private villas, which makes it ideal for larger group holidays. Because the ocean is literally on your doorstep, you will be able to go for a dip in the Indian Ocean anytime your heart desires.","
- Baby cot
- Baby high chair
- Babysitter (extra cost)",219,"
- Pers. max.: 6
- Staff: 1","Trou aux Biches, Grand Baie & North Mauritius, Mauritius",Bel Azur Villa,"
- 24H Security
- Housekeepingservice
- Massage (extra cost)
- Security service","
- Kayak available (extra cost)",3,"
- Daily breakfast (extra cost)(600 MUR/person)
- Dinner (extra cost)(based on menu)
- Fully equipped kitchen
- Lunch (extra cost)(based on menu)","
- Car available (extra cost)
- Scooter available (extra cost)"
"
- Classic home comforts
- Fully-equipped kitchen
- Complimentary housekeeping services
- Comfortable and spacious bedrooms
- Plenty of indoors and outdoors living space
- Close to airport and various tourist spots","
- Check-in: after 02:00 pm
- Check-out: until 11:00 am",6,"
- Back-up generator
- CCTV security
- Electricityincluded
- Fire extinguisher
- Hairdryer
- Household supplies
- Iron and ironing board
- ParkingFree parking on premise
- Pool towels
- Pool umbrella
- Safety box
- Swimming pool
- Terrace
- Toiletries
- Wardrobe space
- Wi-Fi Internet","
- Billiard table
- International channels
- TV","
- Sir Seewoosagur Ramgoolam International Airport: 57km
- Beach: 600m","Located near one of the most spectacular public beaches in Mauritius, Choisy Garden Villa 1 features ample space to accommodate families and small groups of friends or colleagues. With a stay in this villa, you will be at the very heart of Trou aux Biches fishing village where you can stroll down the picturesque avenues as you soak up the nice weather. Best of all, the villa provides various amenities and services to enhance your stay, ensuring that you have a memorable holiday in Mauritius.","
- Baby cot
- Babysitter (extra cost)",641,"
- Pers. max.: 6
- Staff: 4
- Villa size: 203 m²
- Garden: 149 m²","Mont Choisy, Grand Baie & North Mauritius, Mauritius",Choisy Garden Villa 1,"
- 24H Security
- Gardener
- Housekeepingservice
- Laundry (extra cost)
- Massage (extra cost)
- Pool maintenance",,3,"
- Coffee maker
- Daily breakfast (extra cost)(contact us)
- Dinner (extra cost)(contact us)
- Fully equipped kitchen
- Lunch (extra cost)(contact us)
- Restaurant","
- Airport transfer (extra cost)(contact us)
- Car available (extra cost)
- Driver (extra cost)"
"
- Beachfront location with breathtaking ocean views
- All-day and all-night swimming in the lagoon or swimming pool
- Numerous areas and spots to lounge and dine
- Spacious bedrooms and bathrooms
- Grand Baie and its many tourist attractions","
- Check-in: after 02:00 pm
- Check-out: until 11:00 am
- Security deposit: 2000 EUR",8,"
- Air conditioningincluded
- BBQ equipment
- Enclosed living room
- Hairdryer
- Iron and ironing board
- ParkingFree parking on premise
- Pool towels(contact us)
- Pool umbrella
- Safety box
- Swimming pool
- Terrace
- Toiletries
- Wardrobe space
- Wi-Fi Internet","
- International channels
- Satellite television
- TV","
- Sir Seewoosagur Ramgoolam International Airport: 40km
- Beach: 15m","Facing the ocean, Koki Bonheur Beachfront Villa is designed to take advantage of its beachfront location. The villa, with its rustic yet stylish touches and classy urban appointments, was laid out to provide spaces – both outdoor and indoor – where you can fully enjoy spectacular views of the lagoon and Pointe St. Geran. At Koki Bonheur Beachfront Villa, you will truly experience all the elements that make up a fun and unforgettable beach vacation – white sand, crystal-clear blue waters, sunny skies, balmy breeze as well as complete amenities and comfortable accommodations with a seaside ambience.","
- Baby cot
- Baby high chair
- Babysitter (extra cost)",1150,"
- Pers. max.: 8
- Staff: 2","Poste Lafayette, East Mauritius, Mauritius",Koki Bonheur Beachfront Villa,"
- 24H Security
- Gardener
- Housekeepingservice
- Laundry
- Massage (extra cost)
- Villa manager","
- Kayak available",4,"
- Coffee maker
- Daily breakfast (extra cost)(contact us)
- Dinner (extra cost)(contact us)
- Fully equipped kitchen
- Lunch (extra cost)(contact us)","
- Airport transfer (extra cost)(contact us)
- Bicycles available (extra cost)
- Car available (extra cost)"
"
- Ideal retreat for larger groups, parties or family getaways
- Well-outfitted modern kitchen
- Expansive dining area
- Private swimming pool to relax and unwind
- Various in-villa services designed
- Close to the airport
- Plenty of indoor and outdoor living spaces","
- Check-in: after 11:00 am
- Check-out: until 02:00 pm
- Security deposit: credit card authorization EUR",6,"
- Back-up generator
- BBQ equipment
- CCTV security
- Electricityincluded
- Fire extinguisher
- Hairdryer
- Household supplies
- Iron and ironing board
- Jacuzzi
- ParkingFree parking on premise
- Pool towels
- Pool umbrella
- Safety box
- Swimming pool
- Terrace
- Toiletries
- Wardrobe space
- Wi-Fi Internet","
- TV","
- Sir Seewoosagur Ramgoolam International Airport: 57km
- Beach: 600m","Designed to very easily accommodate groups of up to six persons, Choisy Superior Villa is well-suited to larger groups of friends, family or colleagues. Whether you want to enjoy a family vacation, corporate event, honeymoon and the likes, this villa is well-appointed to provide you with a gloriously relaxing time. Best of all, there’s even a rooftop lounge with spectacular views of the surroundings, perfect for enjoying the sunset in the afternoons. With a stay at Choisy Superior Villa, you can select your own bedroom from multiple options.","
- Baby cot
- Babysitter (extra cost)",387,"
- Pers. max.: 6
- Staff: 4
- Villa size: 203 m²
- Garden: 149 m²","Mont Choisy, Grand Baie & North Mauritius, Mauritius",Choisy Superior Villa,"
- 24H Security
- Gardener
- Housekeepingservice
- Laundry (extra cost)
- Personal guest assistant (extra cost)
- Pool maintenance",,3,"
- Coffee maker
- Daily breakfast (extra cost)(contact us)
- Dinner (extra cost)(contact us)
- Fully equipped kitchen
- Lunch (extra cost)(contact us)
- Restaurant","
- Airport transfer (extra cost)(contact us)
- Car available (extra cost)
- Driver (extra cost)"
